,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
276,1,f_1_1.19,612.00,869.00,257.00,8,104.00
277,1,f_1_0.37,589.00,872.00,283.00,10,81.00
278,1,f_1_2.7,540.00,877.00,337.00,11,116.00
279,1,f_0_5.33,271.00,879.00,608.00,20,350.00
280,1,f_1_3.5,324.00,879.00,555.00,18,269.00
281,1,f_1_4.42,519.00,879.00,360.00,11,171.00
282,1,f_1_4.43,521.00,881.00,360.00,13,160.00
283,1,f_1_4.44,524.00,884.00,360.00,12,157.00
284,1,f_1_1.20,622.00,891.00,269.00,8,113.00
285,1,f_0_5.32,262.00,894.00,632.00,25,377.00
286,1,f_1_1.21,632.00,894.00,262.00,10,109.00
287,1,f_0_5.34,279.00,897.00,618.00,24,326.00
288,1,f_0_5.36,295.00,899.00,604.00,21,324.00
289,1,f_1_4.45,536.00,899.00,363.00,12,159.00
290,1,f_1_4.46,539.00,900.00,361.00,11,152.00
291,1,f_1_3.6,386.00,902.00,516.00,23,254.00
292,1,f_1_5.45,593.00,904.00,311.00,9,106.00
293,1,f_1_5.27,439.00,905.00,466.00,16,216.00
294,1,f_1_1.22,642.00,906.00,264.00,10,106.00
295,1,f_1_5.28,443.00,913.00,470.00,18,211.00
296,1,f_1_5.32,450.00,915.00,465.00,16,183.00
297,1,f_1_5.44,570.00,917.00,347.00,11,137.00
298,1,f_1_5.33,455.00,918.00,463.00,18,189.00
299,1,f_1_5.0,300.00,923.00,623.00,24,352.00
300,1,f_1_5.1,305.00,926.00,621.00,24,340.00
301,1,f_1_1.14,487.00,927.00,440.00,16,230.00
302,1,f_1_3.10,406.00,928.00,522.00,20,264.00
303,1,f_1_5.2,310.00,929.00,619.00,25,313.00
304,1,f_1_1.23,645.00,929.00,284.00,9,116.00
305,1,f_1_5.23,434.00,932.00,498.00,18,234.00
306,1,f_1_3.14,444.00,933.00,489.00,15,215.00
307,1,f_1_4.47,547.00,933.00,386.00,12,162.00
308,1,f_1_5.19,389.00,935.00,546.00,19,269.00
309,1,f_1_1.12,461.00,937.00,476.00,15,276.00
310,1,f_1_5.34,459.00,938.00,479.00,20,225.00
311,1,f_1_1.4,332.00,939.00,607.00,24,295.00
312,1,f_1_0.12,394.00,940.00,546.00,20,246.00
313,1,f_1_5.35,486.00,940.00,454.00,18,205.00
314,1,f_1_1.24,662.00,941.00,279.00,11,109.00
315,1,f_1_4.48,550.00,941.00,391.00,14,163.00
316,1,f_1_5.53,680.00,942.00,262.00,7,89.00
317,1,f_1_1.25,672.00,943.00,271.00,10,98.00
318,1,f_1_5.46,596.00,943.00,347.00,11,130.00
319,1,f_1_5.36,489.00,945.00,456.00,15,204.00
320,1,f_1_1.33,681.00,945.00,264.00,10,92.00
321,1,f_1_5.47,606.00,946.00,340.00,12,128.00
322,1,f_1_0.21,464.00,950.00,486.00,16,209.00
323,1,f_1_4.49,553.00,953.00,400.00,12,161.00
324,1,f_1_5.20,394.00,954.00,560.00,19,267.00
325,1,f_1_5.21,401.00,956.00,555.00,18,253.00
326,1,f_1_4.50,576.00,956.00,380.00,14,145.00
327,1,f_1_3.7,389.00,958.00,569.00,22,271.00
328,1,f_1_2.8,547.00,960.00,413.00,16,166.00
329,1,f_1_3.8,396.00,966.00,570.00,22,267.00
330,1,f_1_5.13,361.00,966.00,605.00,20,301.00
331,1,f_1_0.22,472.00,972.00,500.00,16,197.00
332,1,f_2_4.1,851.00,973.00,122.00,3,52.00
333,1,f_0_2.19,292.00,975.00,683.00,23,423.00
334,1,f_1_0.23,480.00,975.00,495.00,15,210.00
335,1,f_1_4.55,601.00,978.00,377.00,15,217.00
336,1,f_1_0.24,488.00,981.00,493.00,14,207.00
337,1,f_1_5.37,496.00,983.00,487.00,17,233.00
338,1,f_1_5.38,505.00,985.00,480.00,18,220.00
339,1,f_0_2.20,303.00,987.00,684.00,26,404.00
340,1,f_1_5.3,315.00,989.00,674.00,25,346.00
341,1,f_3_11.0,900.00,990.00,90.00,2,22.00
