,episode,time_sec,step,action,reward
180,1,905,181.0,"1,0,1,0,2,0,0,2,2,0,0,1,0,3,3,4,0,0,2,0,3,3,2,0,2",-217.0
181,1,910,182.0,"2,3,0,4,1,2,0,0,0,3,0,2,0,3,2,4,1,4,0,1,0,1,0,1,2",-199.8
182,1,915,183.0,"3,4,2,2,0,3,3,1,4,1,0,2,3,0,1,0,0,4,1,3,3,1,4,0,2",-186.8
183,1,920,184.0,"4,0,0,4,4,1,0,3,0,1,4,3,3,0,0,0,2,0,2,3,2,1,0,1,0",-202.8
184,1,925,185.0,"1,3,2,3,3,1,2,2,0,1,2,3,3,0,0,2,3,3,0,1,4,3,1,0,2",-224.0
185,1,930,186.0,"3,4,2,0,0,1,4,2,3,3,3,3,2,2,1,2,2,1,3,0,3,2,2,3,0",-246.60000000000002
186,1,935,187.0,"4,1,2,3,0,0,0,3,0,4,2,1,3,2,3,0,0,4,2,2,4,4,1,4,1",-246.20000000000002
187,1,940,188.0,"3,4,0,2,2,3,2,3,2,1,1,2,0,3,0,2,2,2,2,2,1,1,4,4,2",-250.8
188,1,945,189.0,"4,4,2,1,4,1,0,2,4,2,0,3,2,0,0,1,1,2,4,4,4,1,0,2,0",-282.0
189,1,950,190.0,"3,4,4,0,0,1,4,4,0,3,2,3,1,3,0,2,2,2,0,4,3,0,3,3,4",-234.0
190,1,955,191.0,"0,1,0,0,0,1,1,1,3,2,2,2,2,0,0,1,0,4,2,1,3,0,2,3,0",-244.39999999999998
191,1,960,192.0,"3,2,3,2,4,3,4,0,3,3,0,4,2,3,0,3,0,4,0,0,0,2,2,1,0",-258.20000000000005
192,1,965,193.0,"0,2,0,0,4,3,0,0,4,4,4,0,3,0,3,4,3,3,1,1,0,2,0,0,1",-230.2
193,1,970,194.0,"2,2,0,3,0,0,1,1,0,0,1,2,2,4,4,0,3,0,2,2,2,0,0,3,0",-183.4
194,1,975,195.0,"2,2,0,3,4,1,3,4,0,4,2,4,4,3,0,1,1,2,3,1,4,0,3,3,0",-200.60000000000002
195,1,980,196.0,"3,1,3,0,3,1,3,1,2,0,0,2,2,0,0,0,3,4,1,1,3,3,0,2,4",-225.0
196,1,985,197.0,"4,2,2,0,4,0,0,0,3,4,1,0,1,0,1,3,0,1,1,0,2,1,3,4,1",-216.8
197,1,990,198.0,"4,4,0,3,2,4,1,1,2,4,2,0,0,0,2,2,0,4,1,3,0,0,2,1,4",-230.2
198,1,995,199.0,"3,4,4,0,4,2,2,1,0,0,2,1,2,2,3,3,3,4,1,2,3,1,2,0,2",-197.4
199,1,1000,200.0,"0,3,0,3,3,0,0,0,4,3,3,0,4,3,0,3,0,4,0,0,0,1,2,3,2",-212.00000000000003
200,1,1005,201.0,"1,1,0,3,2,3,2,2,0,2,1,0,0,2,2,0,2,2,3,0,3,3,4,0,1",-235.2
201,1,1010,202.0,"3,3,2,1,4,1,0,3,4,0,2,2,2,3,0,2,3,2,4,4,1,0,3,0,0",-243.20000000000002
