,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
250,1,f_1_3.21,561.00,1060.00,499.00,17,263.00
251,1,f_1_3.22,581.00,1062.00,481.00,16,231.00
252,1,f_1_3.12,378.00,1066.00,688.00,20,381.00
253,1,f_1_1.7,647.00,1074.00,427.00,18,173.00
254,1,f_3_6.3,966.00,1075.00,109.00,2,9.00
255,1,f_3_6.4,987.00,1077.00,90.00,0,0.00
256,1,f_1_4.25,751.00,1078.00,327.00,14,130.00
257,1,f_3_10.2,926.00,1079.00,153.00,3,86.00
258,1,f_2_2.10,661.00,1081.00,420.00,15,201.00
259,1,f_2_2.11,667.00,1083.00,416.00,16,182.00
260,1,f_3_9.3,939.00,1083.00,144.00,4,70.00
261,1,f_0_0.19,452.00,1085.00,633.00,14,431.00
262,1,f_1_1.8,657.00,1085.00,428.00,13,160.00
263,1,f_3_9.4,952.00,1085.00,133.00,4,57.00
264,1,f_1_2.35,574.00,1086.00,512.00,15,279.00
265,1,f_3_9.5,965.00,1087.00,122.00,3,46.00
266,1,f_0_5.28,290.00,1088.00,798.00,22,549.00
267,1,f_1_2.36,582.00,1088.00,506.00,14,264.00
268,1,f_1_2.29,527.00,1090.00,563.00,21,280.00
269,1,f_1_2.30,535.00,1093.00,558.00,22,259.00
270,1,f_2_2.12,673.00,1095.00,422.00,15,176.00
271,1,f_0_0.18,385.00,1096.00,711.00,14,512.00
272,1,f_2_2.13,679.00,1097.00,418.00,15,165.00
273,1,f_3_10.3,939.00,1098.00,159.00,3,93.00
274,1,f_3_8.0,900.00,1099.00,199.00,3,73.00
275,1,f_3_10.4,952.00,1099.00,147.00,5,75.00
276,1,f_2_2.14,685.00,1101.00,416.00,14,153.00
277,1,f_1_3.13,446.00,1105.00,659.00,19,353.00
278,1,f_1_1.6,576.00,1110.00,534.00,17,349.00
279,1,f_3_9.6,978.00,1115.00,137.00,6,53.00
280,1,f_3_11.1,913.00,1121.00,208.00,4,93.00
281,1,f_1_2.31,543.00,1126.00,583.00,24,269.00
282,1,f_1_3.14,475.00,1128.00,653.00,22,384.00
283,1,f_1_2.32,550.00,1128.00,578.00,24,247.00
284,1,f_3_11.2,926.00,1128.00,202.00,5,84.00
285,1,f_3_11.3,939.00,1130.00,191.00,5,83.00
286,1,f_1_3.15,487.00,1131.00,644.00,21,374.00
287,1,f_3_10.5,965.00,1132.00,167.00,7,89.00
288,1,f_1_4.16,640.00,1133.00,493.00,19,248.00
289,1,f_3_11.6,978.00,1133.00,155.00,4,45.00
290,1,f_3_9.7,991.00,1133.00,142.00,5,66.00
291,1,f_1_4.20,644.00,1134.00,490.00,17,240.00
292,1,f_3_10.6,978.00,1134.00,156.00,8,68.00
293,1,f_2_2.15,691.00,1142.00,451.00,17,197.00
294,1,f_1_4.21,650.00,1143.00,493.00,17,261.00
295,1,f_1_2.33,558.00,1144.00,586.00,22,257.00
296,1,f_3_9.8,1004.00,1144.00,140.00,7,54.00
297,1,f_2_2.16,697.00,1145.00,448.00,16,203.00
298,1,f_3_9.9,1017.00,1145.00,128.00,6,38.00
299,1,f_2_2.17,704.00,1148.00,444.00,16,187.00
300,1,f_1_1.9,682.00,1151.00,469.00,14,199.00
301,1,f_3_10.7,991.00,1153.00,162.00,9,63.00
302,1,f_3_10.8,1004.00,1155.00,151.00,6,61.00
303,1,f_3_10.9,1017.00,1156.00,139.00,6,57.00
304,1,f_3_6.5,1009.00,1158.00,149.00,4,39.00
305,1,f_3_10.10,1030.00,1159.00,129.00,5,49.00
306,1,f_2_2.18,710.00,1162.00,452.00,18,194.00
307,1,f_0_5.32,468.00,1164.00,696.00,19,458.00
308,1,f_1_2.37,589.00,1164.00,575.00,23,272.00
