,wall_time,step,value
794,1645182596.4699652,572400,-2340.236572265625
795,1645182735.8327453,573120,-2275.912841796875
796,1645182868.7704499,573840,-2202.3251953125
797,1645183004.3293946,574560,-2067.58251953125
798,1645183138.32509,575280,-1908.5550537109375
799,1645183270.279458,576000,-1759.0792236328125
800,1645183404.2954402,576720,-2135.9521484375
801,1645183536.9770179,577440,-1651.2552490234375
802,1645183668.3743017,578160,-1838.4705810546875
803,1645183797.70557,578880,-1461.8157958984375
804,1645183929.2185054,579600,-1724.6539306640625
805,1645184062.0107236,580320,-1820.2783203125
806,1645184198.2002726,581040,-1907.5130615234375
807,1645184332.8622737,581760,-1584.47802734375
